epoch,step,min,max,mean,std
1,200,-0.0038713132962584496,-0.0038713132962584496,-0.0038713132962584496,0.0
2,400,-0.02083115093410015,-0.02083115093410015,-0.02083115093410015,0.0
3,600,-0.04457096755504608,-0.04457096755504608,-0.04457096755504608,0.0
4,800,-0.10334481298923492,-0.10334481298923492,-0.10334481298923492,0.0
5,1000,-0.27364596724510193,-0.27364596724510193,-0.27364596724510193,0.0
6,1200,-0.43237996101379395,-0.43237996101379395,-0.43237996101379395,0.0
7,1400,-0.881671667098999,-0.881671667098999,-0.881671667098999,0.0
8,1600,-1.1767194271087646,-1.1767194271087646,-1.1767194271087646,0.0
9,1800,-1.89753258228302,-1.89753258228302,-1.89753258228302,0.0
10,2000,-2.3514411449432373,-2.3514411449432373,-2.3514411449432373,0.0
11,2200,-2.1829092502593994,-2.1829092502593994,-2.1829092502593994,0.0
12,2400,-2.936556100845337,-2.936556100845337,-2.936556100845337,0.0
13,2600,-2.6041159629821777,-2.6041159629821777,-2.6041159629821777,0.0
14,2800,-2.889296531677246,-2.889296531677246,-2.889296531677246,0.0
15,3000,-4.120631694793701,-4.120631694793701,-4.120631694793701,0.0
16,3200,-4.2684221267700195,-4.2684221267700195,-4.2684221267700195,0.0
17,3400,-4.885536193847656,-4.885536193847656,-4.885536193847656,0.0
18,3600,-3.3116447925567627,-3.3116447925567627,-3.3116447925567627,0.0
19,3800,-7.786799430847168,-7.786799430847168,-7.786799430847168,0.0
20,4000,-3.6886308193206787,-3.6886308193206787,-3.6886308193206787,0.0
21,4200,-10.991450309753418,-10.991450309753418,-10.991450309753418,0.0
22,4400,-9.817737579345703,-9.817737579345703,-9.817737579345703,0.0
23,4600,-6.568056583404541,-6.568056583404541,-6.568056583404541,0.0
24,4800,-7.300394058227539,-7.300394058227539,-7.300394058227539,0.0
25,5000,-10.266390800476074,-10.266390800476074,-10.266390800476074,0.0
26,5200,-4.501192569732666,-4.501192569732666,-4.501192569732666,0.0
27,5400,-11.98172378540039,-11.98172378540039,-11.98172378540039,0.0
28,5600,-8.240816116333008,-8.240816116333008,-8.240816116333008,0.0
29,5800,-12.790596961975098,-12.790596961975098,-12.790596961975098,0.0
30,6000,-1.5687857866287231,-1.5687857866287231,-1.5687857866287231,0.0
31,6200,-12.322202682495117,-12.322202682495117,-12.322202682495117,0.0
32,6400,-7.675881385803223,-7.675881385803223,-7.675881385803223,0.0
33,6600,-10.71114444732666,-10.71114444732666,-10.71114444732666,0.0
34,6800,-9.885612487792969,-9.885612487792969,-9.885612487792969,0.0
35,7000,0.752673864364624,0.752673864364624,0.752673864364624,0.0
36,7200,-12.384576797485352,-12.384576797485352,-12.384576797485352,0.0
37,7400,-22.0360107421875,-22.0360107421875,-22.0360107421875,0.0
38,7600,-13.96916389465332,-13.96916389465332,-13.96916389465332,0.0
39,7800,-12.029690742492676,-12.029690742492676,-12.029690742492676,0.0
40,8000,1.4332659244537354,1.4332659244537354,1.4332659244537354,0.0
41,8200,-11.542622566223145,-11.542622566223145,-11.542622566223145,0.0
42,8400,-10.750473022460938,-10.750473022460938,-10.750473022460938,0.0
43,8600,-11.943048477172852,-11.943048477172852,-11.943048477172852,0.0
44,8800,-16.783966064453125,-16.783966064453125,-16.783966064453125,0.0
45,9000,-5.180644989013672,-5.180644989013672,-5.180644989013672,0.0
46,9200,-12.559049606323242,-12.559049606323242,-12.559049606323242,0.0
47,9400,-5.867946624755859,-5.867946624755859,-5.867946624755859,0.0
48,9600,-19.547386169433594,-19.547386169433594,-19.547386169433594,0.0
49,9800,-25.544145584106445,-25.544145584106445,-25.544145584106445,0.0
50,10000,0.5643892288208008,0.5643892288208008,0.5643892288208008,0.0
