1,200,719.8368181408594
2,400,1372.5627312633492
3,600,504.0749914991431
4,800,1262.866530857066
5,1000,1047.6647340708107
6,1200,2570.178085712755
7,1400,2249.578489966053
8,1600,2409.5058304111403
9,1800,2969.8404036986367
10,2000,2757.1171227055183
11,2200,2330.162933380089
12,2400,2789.4969233567717
13,2600,2585.627111179082
14,2800,1411.5771313126168
15,3000,2789.334297115392
16,3200,3138.1897884569294
17,3400,2643.4089561973815
18,3600,2839.34268961313
19,3800,3172.3025102208317
20,4000,3282.4794435423873
21,4200,2757.0377044129255
22,4400,3000.173100921182
23,4600,2696.612310443069
24,4800,3302.1987434345797
25,5000,3042.38809800031
26,5200,2993.837175129073
27,5400,2789.326156190783
28,5600,3054.958694590127
29,5800,2815.1208523981295
30,6000,2177.723186888298
31,6200,2710.1691936837374
32,6400,3063.5669641895456
33,6600,3097.175243617763
34,6800,2381.3795607925094
35,7000,2624.0033453666697
36,7200,3056.3117073138856
37,7400,3181.0695079335737
38,7600,2297.23755731627
39,7800,3257.617428252721
40,8000,2813.7499502528294
41,8200,3899.439623638324
42,8400,3192.8062564314664
43,8600,2937.045414415641
44,8800,2350.539665237997
45,9000,3159.4686259547684
46,9200,3615.861805107447
47,9400,3066.48426243044
48,9600,2677.1850568583823
49,9800,3292.9755798695473
50,10000,2775.7293849924754
