1,200,6.068160050518044
2,400,8.07786857546391
3,600,8.364108707712436
4,800,7.805045355755402
5,1000,7.378707913584209
6,1200,11.158426797366197
7,1400,380.97002752910913
8,1600,205.50455818114162
9,1800,383.3009415785635
10,2000,896.5862842070561
11,2200,393.54829707722854
12,2400,1230.3121061849179
13,2600,870.4105201482422
14,2800,1643.364360846736
15,3000,2397.186166764907
16,3200,1943.168256018114
17,3400,2335.3774472504533
18,3600,1643.6171333048978
19,3800,1459.1317147920026
20,4000,1760.5266682512197
21,4200,2148.1008167760724
22,4400,1194.8614945818322
23,4600,1825.7353131939608
24,4800,1494.2179551489653
25,5000,2232.858470204691
26,5200,2003.5034687269622
27,5400,1685.2680658361103
28,5600,1473.3216880407517
29,5800,2837.5554267613015
30,6000,2082.1680092072547
31,6200,1696.439218717641
32,6400,2303.900961273575
33,6600,2061.2100005886487
34,6800,2667.2496522308547
35,7000,2952.765368453599
36,7200,3610.0301721530814
37,7400,2854.636859173203
38,7600,3036.6856362194867
39,7800,3631.6709078033255
40,8000,3792.410514061527
41,8200,3078.221487597532
42,8400,3244.890965823766
43,8600,3407.142442412894
44,8800,2850.151704119091
45,9000,2808.145430603967
46,9200,3675.1952271068394
47,9400,2849.9757519096033
48,9600,3409.136599314674
49,9800,3382.2794316841614
50,10000,3955.5536012676785
