epoch,step,min,max,mean,std
1,200,-0.00048033875646069646,0.0003739887906704098,-3.087058303208323e-06,6.686012784484774e-05
2,400,-0.00018968166841659695,0.0002459801035001874,-5.000875944460859e-07,4.7902853111736476e-05
3,600,-0.00025164359249174595,0.00028830018709413707,6.690639509088214e-08,4.972680835635401e-05
4,800,-0.00021288897551130503,0.00024706812109798193,1.6441809975731303e-06,4.574410559143871e-05
5,1000,-0.0002522038121242076,0.00025329741765744984,-2.5618705876695458e-06,4.75686538266018e-05
6,1200,-0.0002616578130982816,0.00022020909818820655,-2.000198719542823e-06,4.754511974169873e-05
7,1400,-0.00027911667712032795,0.00033509652712382376,3.2588687304269115e-07,5.9193385823164135e-05
8,1600,-0.00019961663929279894,0.00021865731105208397,-7.166355544541148e-07,4.9982878408627585e-05
9,1800,-0.00022688254830427468,0.0002149438369087875,-6.53924416837981e-07,5.1091064960928634e-05
10,2000,-0.00029327109223231673,0.00026890647131949663,-1.5912653452687664e-06,5.304826845531352e-05
11,2200,-0.0002761618816293776,0.00034253820194862783,2.082723085550242e-06,5.825356493005529e-05
12,2400,-0.0003613015578594059,0.0003398573608137667,-2.5436568193981657e-06,5.433369369711727e-05
13,2600,-0.0002988245978485793,0.00037680150126107037,-1.1825662795672542e-06,5.623824108624831e-05
14,2800,-0.00024380470858886838,0.00026206622715108097,-5.504602995642927e-07,5.690727266483009e-05
15,3000,-0.0003170632408000529,0.0002660381142050028,2.674269694580289e-07,5.26513067597989e-05
16,3200,-0.00026537833036854863,0.00023592145589645952,-2.652618604770396e-06,5.843444159836508e-05
17,3400,-0.00030064256861805916,0.00029551840270869434,2.629022674227599e-06,6.108483648858964e-05
18,3600,-0.00028197592473588884,0.00028588957502506673,1.9202336716261925e-06,5.432099715108052e-05
19,3800,-0.00028742628637701273,0.00030016640084795654,-6.1337027545960154e-06,6.159037002362311e-05
20,4000,-0.00032430622377432883,0.0003066808567382395,-1.328787391230435e-07,6.600801862077788e-05
21,4200,-0.00034870949457399547,0.00031240336829796433,2.0099541870877147e-06,6.699036748614162e-05
22,4400,-0.00033369893208146095,0.0003070432576350868,9.791534694159054e-07,5.773458178737201e-05
23,4600,-0.0003851964429486543,0.0003153224242851138,-3.985223884228617e-07,7.146402640501037e-05
24,4800,-0.0003390023484826088,0.00025836454005911946,-1.6153813930941396e-06,6.068230140954256e-05
25,5000,-0.00036863519926555455,0.00033399605308659375,-3.1920696983434027e-06,6.943837070139125e-05
26,5200,-0.0003110760299023241,0.00033985593472607434,1.337858293481986e-06,6.283049879129976e-05
27,5400,-0.0003491617098916322,0.0005267327069304883,1.488568159402348e-06,7.078990893205628e-05
28,5600,-0.00029698421712964773,0.0003453153185546398,-2.055648337773164e-06,6.246191333048046e-05
29,5800,-0.0003704736300278455,0.0004856108862441033,1.545038799122267e-06,8.158959826687351e-05
30,6000,-0.0002997071132995188,0.00031277723610401154,-1.6745738093959517e-06,6.486694474006072e-05
31,6200,-0.00039383512921631336,0.0003463955654297024,-3.5328534977452364e-06,7.440666377078742e-05
32,6400,-0.00036030245246365666,0.0004178959643468261,-2.9356951927184127e-06,6.907454371685162e-05
33,6600,-0.0004423445789143443,0.0004140203236602247,4.012885256088339e-06,7.993954932317138e-05
34,6800,-0.0004266126488801092,0.000351394439348951,1.7297689964834717e-06,7.65771692385897e-05
35,7000,-0.000380930578103289,0.0003382236754987389,-2.681742330423731e-07,9.181881614495069e-05
36,7200,-0.00030931067885831,0.0003291428438387811,2.7989676709694322e-06,7.212992204586044e-05
37,7400,-0.0003625352110248059,0.0004143870319239795,-3.964037773585005e-07,7.37813679734245e-05
38,7600,-0.00042850032332353294,0.0003895899571944028,-3.0338551368913613e-06,8.179457654478028e-05
39,7800,-0.00035640315036289394,0.0003624612290877849,2.781421244435478e-07,7.748013740638271e-05
40,8000,-0.0004595386271830648,0.00046661775559186935,2.4092728381219786e-06,8.277141023427248e-05
41,8200,-0.0004242915892973542,0.0003843657032120973,-2.328092932657455e-06,9.00275117601268e-05
42,8400,-0.00035312300315126777,0.0004885024391114712,2.376020574956783e-06,9.036805568030104e-05
43,8600,-0.000357211974915117,0.0003949629026465118,1.557336759105965e-06,8.63608656800352e-05
44,8800,-0.0004317771235946566,0.0004160309908911586,4.1810650941442873e-07,8.270679245470092e-05
45,9000,-0.00037321358104236424,0.0004657828831113875,2.0123184185649734e-06,8.449951565125957e-05
46,9200,-0.0003684706462081522,0.00043305757571943104,1.9826998141070362e-06,9.14774282136932e-05
47,9400,-0.000493959872983396,0.000337284232955426,1.4620535466747242e-06,8.312018326250836e-05
48,9600,-0.0004250320780556649,0.0004631694173440337,-9.923987818183377e-07,9.225073881680146e-05
49,9800,-0.00045381320524029434,0.0004828252422157675,-2.582615934443311e-06,9.164536459138617e-05
50,10000,-0.00039211189141497016,0.00045401969691738486,7.02125248608354e-07,9.410535130882636e-05
