1,200,-0.09135791786015034
2,400,-0.1438138024508953
3,600,-0.14910674482584
4,800,-0.1538373801112175
5,1000,-0.1574516674876213
6,1200,-0.16009824916720392
7,1400,-0.1620337663590908
8,1600,-0.16337060198187828
9,1800,-0.16395168080925943
10,2000,-0.16479190543293953
11,2200,-0.16500846013426781
12,2400,-0.16544501215219498
13,2600,-0.165597020983696
14,2800,-0.16548643991351128
15,3000,-0.16576412349939346
16,3200,-0.16594858795404435
17,3400,-0.1659952975809574
18,3600,-0.1663120321929455
19,3800,-0.1663015316426754
20,4000,-0.1661130093038082
21,4200,-0.16663201466202737
22,4400,-0.16677301317453386
23,4600,-0.1668929561972618
24,4800,-0.1669137391448021
25,5000,-0.1668887270987034
26,5200,-0.1669624352455139
27,5400,-0.16720840856432914
28,5600,-0.1671074016392231
29,5800,-0.16726426973938943
30,6000,-0.1676003308594227
31,6200,-0.1675679136812687
32,6400,-0.16744303196668625
33,6600,-0.16721554964780808
34,6800,-0.16757327884435655
35,7000,-0.16756885677576064
36,7200,-0.16766559645533563
37,7400,-0.1677246557176113
38,7600,-0.1678379689157009
39,7800,-0.16774685487151145
40,8000,-0.16760703831911086
41,8200,-0.16786405563354492
42,8400,-0.1676965346932411
43,8600,-0.16799425959587097
44,8800,-0.16779300510883333
45,9000,-0.1680222061276436
46,9200,-0.16805583328008653
47,9400,-0.16834510803222658
48,9600,-0.16807215601205827
49,9800,-0.16825210973620414
50,10000,-0.16831376701593398
